MOLECULE_ID,SA_Score
Mol.55,3.492558394
Mol.27,3.672490386
Mol.53,4.158164952
Mol.26,4.290833962
Mol.12,4.385933776
Mol.25,4.467091125
Mol.44,4.634625426
Mol.31,4.737198485
Mol.29,4.981633103
Mol.34,5.137640073
Mol.48,5.147906043
Mol.41,5.232137016
Mol.21,5.238487664
Mol.24,5.268723057
Mol.54,5.287121837
Mol.19,5.293861853
Mol.32,5.31334945
Mol.51,5.31903142
Mol.22,5.363700584
Mol.45,5.379947156
Mol.28,5.413120614
Mol.6,5.558473345
Mol.18,5.568400513
Mol.23,5.638721562
Mol.36,5.644630739
Mol.49,5.708154812
Mol.39,5.720290898
Mol.52,5.785314708
Mol.46,5.868612602
Mol.13,5.895665349
Mol.50,5.914863414
Mol.14,5.973579617
Mol.42,6.030938057
Mol.20,6.03178323
Mol.15,6.04308173
Mol.47,6.137415746
Mol.40,6.221289597
Mol.17,6.226188196
Mol.9,6.367059991
Mol.11,6.418498841
Mol.7,6.446184631
Mol.8,6.480554893
Mol.2,6.506325326
Mol.5,6.590192246
Mol.38,6.649060017
Mol.1,6.82155932
Mol.10,6.860306489
Mol.35,6.871789938
Mol.4,6.988002676
Mol.3,7.013030512
Mol.33,7.118532658
Mol.30,7.176553058
Mol.16,7.503088828
Mol.37,7.560661508
Mol.43,7.903890375
