Compound_Name,Binding_Energy
Mol.30,-8.899
Mol.43,-8.898
Mol.11,-8.466
Mol.2,-8.089
Mol.9,-7.39
Mol.51,-7.333
Mol.32,-7.275
Mol.42,-7.25
Mol.3,-7.077
Mol.8,-7.041
Mol.1,-6.909
Mol.55,-6.652
Mol.49,-6.504
Mol.14,-6.399
Mol.7,-6.383
Mol.54,-6.241
Mol.52,-6.238
Mol.41,-6.163
Mol.44,-6.051
Mol.28,-5.989
Mol.15,-5.783
Mol.21,-5.78
Mol.6,-5.773
Mol.38,-5.768
Mol.39,-5.693
Mol.4,-5.408
Mol.18,-5.368
Mol.53,-5.313
Mol.13,-5.131
Mol.40,-5.061
Mol.45,-5.055
Mol.46,-4.959
Mol.47,-4.953
Mol.27,-4.944
Mol.12,-4.713
Mol.34,-4.692
Mol.48,-4.613
Mol.29,-4.511
Mol.22,-4.478
Mol.50,-4.471
Mol.5,-4.45
Mol.23,-4.375
Mol.19,-4.172
Mol.17,-3.962
Mol.25,-3.8
Mol.31,-3.795
Mol.10,-3.725
Mol.24,-3.348
Mol.33,-3.275
Mol.26,-3.123
Mol.36,-2.966
Mol.37,-2.623
